Name;Sweep (T1);;;
Date;27/09/2024;;;
Time;9:59:13 p. m.;;;
Instrument;FSH13 - 120350/023;;;
Firmware Version;V3.40;;;
Instrument Mode;Spectrum Analyzer;;;
Meas Mode;Spectrogram;;;
Uplink;- - -;;;
Downlink;- - -;;;
Channel;- - -;;;
Center Frequency;430000000;Hz;;
Frequency Offset;0;Hz;;
Span;20000000;Hz;;
Ref Level;10,5;dBm;;
Ref Offset;0;dB;;
Ref Position;1;;;
Range;100;dB;;
RF Attenuation;Manual;;;
RF Attenuator;35;dB;;
Pre-Amplifier;Off;;;
RF Input;50 Ω;;;
RBW;300000;Hz;;
VBW;300000;Hz;;
SWT;0,02;s;;
Trigger Mode;Free Run;;;
Trigger Level;- - -;;;
Trigger Delay;- - -;;;
Trace Mode;Clear / Write;;;
Trace Math;Off;;;
Trace Detector;Max Peak;;;
Primary Transducer;- - -;;;
Secondary Transducer;- - -;;;
Gated Trigger;Off;;;
Gate Mode;Edge;;;
Gate Delay;0;s;;
Gate Length;0,0004;s;;
Isotropic Antenna;Off;;;
Limit Line 1;- - -;;;
Result Limit Line 1;- - -;;;
Limit Line 2;- - -;;;
Result Limit Line 2;- - -;;;
Marker 1;436031746;Hz;;
Marker 1 Value;-53,16;dBm;;
Marker 2;439015873;Hz;;
Marker 2 Value;-53,36;dBm;;
Marker 3;437523809,5;Hz;;
Marker 3 Value;-53,19;dBm;;
Marker 4;431015873;Hz;;
Marker 4 Value;-52,83;dBm;;
Marker 5;433047619;Hz;;
Marker 5 Value;-44,06;dBm;;
Marker 6;434984127;Hz;;
Marker 6 Value;-55,87;dBm;;

Frequency [Hz];Magnitude [dBm];;;
420000000;-54,4284019470215;;;
420031746,031746;-54,4284019470215;;;
420063492,063492;-56,1551856994629;;;
420095238,095238;-52,9868621826172;;;
420126984,126984;-53,6466407775879;;;
420158730,15873;-56,1432304382324;;;
420190476,190476;-49,674560546875;;;
420222222,222222;-53,4153251647949;;;
420253968,253968;-55,4669380187988;;;
420285714,285714;-55,1071166992188;;;
420317460,31746;-54,2161674499512;;;
420349206,349206;-54,5570030212402;;;
420380952,380952;-55,0364532470703;;;
420412698,412698;-56,5245628356934;;;
